movement, velocity, acc, jerk, ci, weight,evaluatedjoint, pivot
Back from Plie,35.08843153,1,0.23,0.89,1.23,hip right,knee right
Back from Plie,35.08843153,1,0.23,0.89,1.23,hip right,knee right
Back from Plie,35.08843153,1,0.23,0.89,1.23,hip right,knee right
Back from Plie,24.97529689,40,645.13,0.89,0.62,hip right,knee right
Back from Plie,24.97529689,40,645.13,0.89,0.62,hip right,knee right
Back from Plie,0,0,73.98,0.89,0,hip right,knee right
,25.86931473,13.83333333,227.4883333,0.89,0.821666667,,
movement, velocity, acc, jerk, ci, weight,evaluatedjoint, pivot
Back from Etendre right,33.93663907776633,1,0.22,1.0,1.15,foot right,ankle right
Back from Etendre right,33.93663907776633,1,0.22,1.0,1.15,foot right,ankle right
Back from Etendre right,0.0,0,132.28,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,132.28,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
