timestamp, velUL, velUR, velKL, velKR, velHL, velHR,accUL, accUR, accKL, accKR, accHL, accHR,jerUL, jerUR, jerKL, jerKR, jerHL, jerHR,weiUL, weiUR, weiKL, weiKR, weiHL, weiHR,CI
19:11.0,10,11,14,2,25,12,50.8867,14.4683,54.8525,34.8175,102.6182,79.8464,88.8791,53.8977,31.8804,78.9648,118.5982,165.7379,100,121,196,4,625,144,1.12
19:11.1,11,15,11,2,17,5,17.1573,39.2022,18.9936,15.3939,48.9215,87.2063,42.5815,90.6275,44.4176,29.3873,140.0025,122.3493,121,225,121,4,289,25,1.12
19:11.2,21,12,6,5,1,8,68.1823,53.1904,45.1836,30.7204,99.0803,20.7803,40.3691,81.5074,149.2724,34.9784,282.4639,130.5908,441,144,36,25,1,64,1.12
19:11.2,19,2,3,4,4,0,35.0845,57.1527,34.7568,11.3224,33.2683,52.0395,74.4238,128.7867,38.1522,34.0523,32.0472,176.9249,361,4,9,16,16,0,1.12
19:11.3,16,1,4,3,2,1,27.9118,20.3174,5.3313,10.0916,15.3082,6.1147,141.9624,95.9126,70.6455,60.4146,170.4046,39.2127,256,1,16,9,4,1,1.12
19:11.4,15,6,3,0,6,8,49.7034,37.8958,16.918,20.6459,33.2336,47.5757,93.6271,98.8396,69.6127,27.5691,85.819,98.9033,225,36,9,0,36,64,1.12
19:11.6,6,3,5,2,14,19,52.0565,33.3471,26.5031,15.3947,71.1674,61.5321,45.4685,59.9227,38.4045,10.5805,87.1173,86.6553,36,9,25,4,196,361,1.11
19:11.7,3,15,2,0,2,6,45.0509,73.5535,23.1551,12.8938,74.2115,78.1766,84.4546,132.0118,57.5833,50.2502,152.1498,188.5502,9,225,4,0,4,36,1.11
19:11.7,3,24,1,1,2,1,17.7276,68.1542,7.4531,13.3845,5.8374,42.0175,63.8206,66.6445,38.6374,35.5287,112.2691,155.1757,9,576,1,1,4,1,1.11
19:11.8,4,13,0,3,1,5,23.4004,67.2277,14.6758,15.8936,11.4071,29.3709,80.6311,209.8382,17.3721,5.2001,100.1117,81.4508,16,169,0,9,1,25,1.11
19:11.9,3,10,0,2,1,2,15.9244,25.6991,5.7289,18.3759,7.9011,29.1644,43.5046,140.4601,19.623,35.4174,9.4003,105.371,9,100,0,4,1,4,1.11
19:11.9,15,5,4,8,13,19,75.594,56.0979,20.8825,47.2973,71.7744,113.2166,85.5788,31.5045,11.6592,47.1332,95.0993,139.5685,225,25,16,64,169,361,1.1
19:12.0,5,6,10,8,28,24,79.5448,29.3515,41.2458,18.1187,96.8854,32.6955,107.6836,80.5685,65.9501,27.9929,142.6614,91.3186,25,36,100,64,784,576,1.11
19:12.0,1,6,2,7,6,13,26.5085,37.5497,53.4711,17.98,153.6953,69.7417,146.7234,78.0113,109.6473,75.4312,326.8238,274.162,1,36,4,49,36,169,1.11
19:12.1,3,2,0,0,6,3,12.2465,40.1964,8.8228,47.8803,8.9903,99.7952,121.2518,94.5101,70.7469,73.8226,158.6976,198.2129,9,4,0,0,36,9,1.12
19:12.2,3,3,0,1,0,4,3.4319,16.0951,6.8968,5.0653,44.2038,16.4774,41.341,66.2703,76.4399,29.5747,231.1698,115.5902,9,9,0,1,0,16,1.12
19:12.2,4,10,1,1,0,17,14.678,48.0653,6.7797,5.7391,3.8458,83.0899,16.8504,71.2794,12.3998,69.2141,16.1801,195.0539,16,100,1,1,0,289,1.12
19:12.3,6,12,0,4,2,13,20.1083,13.9967,9.3847,21.9577,19.7039,19.8746,28.8089,11.9344,24.3603,33.7528,78.8117,52.5589,36,144,0,16,4,169,1.12
19:12.4,10,9,0,2,2,8,40.1897,16.9372,6.6182,30.2046,19.4843,68.6587,60.5976,95.9145,8.0802,51.6211,32.3757,207.1112,100,81,0,4,4,64,1.12
19:12.4,15,13,1,1,4,2,33.2726,26.2003,8.817,5.056,23.6388,50.0599,21.3873,19.1034,18.5481,32.599,63.8486,54.5695,225,169,1,1,16,4,1.11
19:12.5,14,12,3,1,7,6,12.3504,19.0085,17.9729,5.8403,26.5681,43.5022,68.5237,22.6988,18.1746,49.7053,20.9396,157.1741,196,144,9,1,49,36,1.1
19:12.5,3,4,8,2,17,9,79.6088,61.1197,37.253,17.3014,71.7711,56.2853,166.8502,130.5574,44.0617,20.6172,73.0262,68.6785,9,16,64,4,289,81,1.1
19:12.6,2,3,3,4,12,8,19.3119,30.2249,66.6892,27.4319,181.0631,60.5397,36.3528,44.5695,116.8435,48.7579,297.385,95.6184,4,9,9,16,144,64,1.1
19:12.7,1,2,9,6,26,4,8.1899,16.8097,42.1611,21.4826,83.5631,31.4256,115.5377,95.6288,117.7474,54.1304,230.9324,100.3643,1,4,81,36,676,16,1.1
19:12.7,0,0,6,5,13,3,7.27,12.1197,21.2026,25.2836,84.9866,31.4637,36.0337,60.3321,129.5771,70.1368,396.4303,125.4312,0,0,36,25,169,9,1.1
19:12.8,4,2,3,2,18,2,24.2815,13.7268,21.719,19.4825,93.8014,4.6842,29.9406,42.0578,92.8423,41.9763,226.7266,51.3479,16,4,9,4,324,4,1.1
19:12.8,1,2,0,3,7,4,18.4644,10.233,18.108,13.4628,80.6643,24.4876,31.255,23.6929,15.7333,20.0834,139.5408,25.7931,1,4,0,9,49,16,1.1
19:12.9,5,5,0,1,5,12,27.5897,18.6204,2.4699,10.394,13.7124,45.5777,22.0502,11.3112,34.4925,14.9327,154.8935,74.2702,25,25,0,1,25,144,1.1
19:12.9,6,11,1,0,2,9,4.915,41.2922,2.2354,8.2462,27.836,19.4921,34.9912,58.165,29.7686,29.2353,107.1867,56.0486,36,121,1,0,4,81,1.1
19:13.0,5,2,2,0,6,8,6.5859,57.5624,10.253,4.2962,26.4535,6.2881,51.1112,109.226,12.2825,9.594,25.1038,77.491,25,4,4,0,36,64,1.1
19:13.0,1,3,1,0,4,4,24.6133,10.1815,5.8742,1.8579,9.2623,50.218,44.0148,46.9033,11.2785,12.576,38.3315,53.9175,1,9,1,0,16,16,1.1
