 velKR, accKR, jerKR, weiKR
12,72.7963,118.3139,144
10,41.3799,81.3347,100
13,42.5747,53.7658,169
19,96.7865,148.2076,361
42,140.5699,202.0498,1764
44,32.8077,146.6799,1936
50,149.1737,318.8209,2500
81,198.7296,258.1411,6561
62,195.9731,486.9265,3844
104,304.4352,243.1693,10816
96,190.6027,348.9804,9216
93,173.4921,587.6646,8649
97,90.8587,366.8353,9409
89,154.6697,146.0417,7921
85,29.1472,146.2701,7225
45,250.9272,378.7048,2025
69,182.5622,301.2749,4761
78,86.5044,479.2233,6084
47,222.1011,558.2109,2209
14,264.2134,496.3632,196
21,140.1208,249.2065,441
32,102.3352,319.6633,1024
49,143.8537,297.1459,2401
75,250.1257,416.3933,5625
81,266.5573,510.8929,6561
87,49.8281,390.7146,7569
94,158.4768,266.605,8836
82,107.1535,205.2193,6724
43,237.0305,442.1441,1849
38,167.358,286.2519,1444
69,312.276,800.5973,4761
55,252.1422,350.3916,3025
55,163.1131,366.9529,3025
26,216.5927,272.2203,676
39,88.3652,251.9096,1521
36,20.5375,309.7924,1296
41,116.8893,253.1624,1681
32,59.0845,75.7847,1024
22,96.8694,198.5034,484
14,93.5636,77.0424,196
17,50.1937,193.8612,289
25,127.3381,112.7168,625
23,29.366,67.833,529
21,96.2264,329.1755,441
22,43.5506,100.1653,484
27,44.979,153.2255,729
10,16.9249,167.1662,100
10,55.046,83.2936,100
30,123.3189,175.8127,900
62,242.4713,337.5873,3844
65,128.892,330.4024,4225
78,186.2325,400.432,6084
77,328.9,664.9459,5929
102,211.3274,198.7577,10404
121,298.0429,61.9481,14641
62,438.2929,800.1271,3844
94,200.9287,524.665,8836
125,189.9669,896.3995,15625
88,551.9936,1094.4637,7744
88,438.3896,578.0839,7744
113,164.5051,1033.9571,12769
79,299.425,1046.48,6241
40,389.8165,828.5855,1600
17,170.5064,521.2094,289
13,35.1584,587.3935,169
15,133.3165,140.9655,225
47,190.6018,253.5743,2209
44,125.936,307.5575,1936
118,489.6411,504.1559,13924
74,290.8227,402.3515,5476
86,71.5119,636.3813,7396
71,122.8517,387.6036,5041
75,57.1635,114.8746,5625
40,212.6817,242.4878,1600
78,238.0706,330.4549,6084
57,143.5164,161.0568,3249
70,189.449,444.808,4900
28,274.5343,300.6154,784
36,76.9082,307.9733,1296
53,119.0326,585.3219,2809
38,304.9469,555.7559,1444
30,156.3288,162.8409,900
26,39.2498,404.0851,676
28,32.2962,211.9083,784
20,63.1238,41.6077,400
14,60.9896,92.994,196
21,98.1528,159.0484,441
18,92.3734,117.6205,324
13,52.7782,97.9998,169
14,14.5585,151.9341,196
22,50.6376,139.9255,484
18,59.7288,64.871,324
58,245.8115,303.0988,3364
63,191.5483,272.9121,3969
90,199.5259,191.4962,8100
96,311.0906,554.3096,9216
68,251.1101,650.907,4624
120,351.1005,600.7985,14400
48,490.5795,467.9997,2304
104,364.5084,526.0261,10816
81,198.3033,758.8621,6561
88,308.6509,670.7518,7744
63,293.1567,395.1708,3969
55,90.5662,416.8393,3025
82,225.9851,613.6564,6724
72,76.6354,203.7865,5184
25,285.4929,736.5518,625
18,116.5277,294.9442,324
45,167.4091,101.1822,2025
37,128.2963,344.9173,1369
45,90.8705,210.4312,2025
70,208.6638,477.1415,4900
118,357.4865,508.9846,13924
111,385.7989,786.876,12321
91,319.4035,760.4707,8281
86,122.9808,626.9904,7396
93,318.6406,938.2197,8649
105,263.7338,579.868,11025
77,301.0164,484.9553,5929
87,99.1182,270.1679,7569
97,390.4613,226.8606,9409
92,146.8958,358.9414,8464
77,163.3411,713.0651,5929
69,72.3766,284.8167,4761
73,24.9671,264.8564,5329
45,254.29,390.72,2025
113,450.4215,641.6483,12769
109,66.0252,369.3895,11881
83,297.2844,1031.5276,6889
89,128.1029,108.5309,7921
86,32.8341,481.3124,7396
76,78.7994,257.7536,5776
61,198.7575,301.2298,3721
33,171.3654,222.7807,1089
21,279.3238,378.3973,441
30,137.4024,230.7543,900
30,23.437,421.7028,900
46,96.8236,122.2853,2116
85,306.9437,483.8043,7225
