 velKL, accKL, jerKL, weiKL
16,54.705,97.3551,256
11,60.6798,64.8306,121
11,58.2717,72.9889,121
18,71.3387,115.4238,324
12,45.9721,62.2078,144
11,17.2098,57.5972,121
15,67.5337,83.1116,225
13,65.5387,110.0684,169
25,76.8727,107.1756,625
42,113.3549,107.9438,1764
70,174.9134,184.5901,4900
80,99.436,148.9988,6400
116,391.2915,541.7106,13456
116,625.0772,977.5733,13456
100,293.2231,896.8104,10000
110,86.1656,956.0583,12100
169,492.3146,1133.7399,28561
145,319.4842,530.5955,21025
104,507.3789,1375.0385,10816
137,327.6398,696.2199,18769
46,687.2816,862.1929,2116
35,163.9512,533.965,1225
57,185.7492,1052.8838,3249
49,274.7799,425.5478,2401
21,188.9549,467.5251,441
14,76.9852,517.4529,196
38,192.0996,207.335,1444
33,159.7373,224.5152,1089
94,410.6919,653.6553,8836
106,459.5673,834.9917,11236
105,306.4828,1022.2682,11025
208,831.9778,1128.3666,43264
145,890.5514,1671.715,21025
98,484.4096,1202.7683,9604
88,346.2872,1234.3461,7744
73,228.0649,980.2719,5329
119,327.7355,826.2569,14161
62,459.0717,843.675,3844
51,101.8739,641.7393,2601
59,114.0477,855.6814,3481
56,194.0872,277.7503,3136
25,188.8825,360.9979,625
17,68.7945,382.5233,289
11,54.319,118.8321,121
19,75.662,168.982,361
12,41.9968,70.8513,144
22,112.8595,228.023,484
27,50.7085,116.6174,729
12,69.1135,112.3109,144
26,96.0499,156.9585,676
13,54.5141,42.6684,169
11,58.0318,75.2377,121
22,66.617,81.0793,484
93,438.9252,571.7904,8649
79,190.4318,336.8033,6241
84,76.809,650.7916,7056
119,305.2482,651.6787,14161
61,544.162,833.9768,3721
117,373.2473,512.023,13689
131,227.0546,835.4041,17161
157,403.3323,956.3544,24649
116,457.0333,878.3996,13456
71,307.092,815.9656,5041
116,379.9062,915.875,13456
80,281.7703,642.6097,6400
70,320.5473,604.5878,4900
48,181.8493,288.3137,2304
26,130.663,606.6219,676
34,74.6921,319.9455,1156
27,43.1024,144.9677,729
15,192.3312,371.7304,225
20,107.4806,103.1584,400
21,85.9081,357.9149,441
12,77.6818,228.7963,144
103,603.8388,953.7489,10609
152,839.0844,1303.6459,23104
104,560.6468,1405.3694,10816
136,331.6666,814.3462,18496
138,128.0702,976.6289,19044
97,533.8192,1089.8724,9409
110,318.3966,525.7167,12100
72,567.9708,1098.9377,5184
91,617.6966,1245.7238,8281
95,388.5815,665.4265,9025
70,174.9101,1044.7948,4900
39,193.22,758.2778,1521
84,283.3135,586.2655,7056
27,366.2584,310.6696,729
11,74.1211,113.3182,121
13,19.9501,99.2692,169
21,71.5157,67.3876,441
21,21.8546,47.3312,441
28,135.2486,272.2316,784
16,180.7801,246.1654,256
23,51.413,227.9537,529
21,23.8178,267.6517,441
29,157.1528,241.8347,841
128,679.2199,999.5165,16384
119,324.4796,517.5505,14161
97,576.1139,1793.0936,9409
63,315.1121,590.7139,3969
109,340.9637,1253.671,11881
127,200.9352,763.6753,16129
153,396.9053,452.2124,23409
156,404.1382,823.016,24336
132,367.2288,741.8928,17424
133,244.4779,703.7171,17689
89,299.4356,803.1606,7921
81,375.275,490.0373,6561
56,176.7689,470.9761,3136
59,289.1208,985.8691,3481
44,192.2623,442.7666,1936
29,103.8772,410.8459,841
32,179.795,229.5668,1024
27,227.8287,208.6515,729
37,117.9926,335.5763,1369
32,73.0513,378.3011,1024
26,95.2095,244.9711,676
78,322.1979,437.3247,6084
156,624.6822,1053.5985,24336
130,533.0829,1247.7367,16900
148,352.4036,1169.4683,21904
159,544.8618,1093.9678,25281
164,387.8297,81.0949,26896
77,913.4891,1366.1042,5929
164,731.045,873.1202,26896
147,423.1663,791.4374,21609
146,308.9766,1491.8207,21316
113,335.7586,645.3507,12769
98,175.8689,437.9276,9604
103,125.6286,683.6274,10609
74,254.0191,221.4114,5476
110,226.2458,259.7392,12100
40,443.7548,530.6689,1600
33,71.1004,433.9704,1089
217,1110.5491,2250.1586,47089
223,2615.1314,3847.5189,49729
291,514.5476,2337.2008,84681
219,1381.1778,1396.9141,47961
101,1996.3832,1686.2922,10201
19,549.6893,2773.2904,361
14,166.9064,2792.9722,196
13,144.2261,645.5233,169
85,434.3546,679.9305,7225
51,278.4608,622.3223,2601
339,1760.991,2261.6451,114921
86,1578.7958,2223.5546,7396
51,322.8895,2946.4261,2601
199,983.1338,3535.386,39601
49,1447.1888,1749.1239,2401
52,558.3417,774.0474,2704
89,312.4754,2560.6459,7921
81,151.9547,987.246,6561
75,170.9283,562.3818,5625
97,166.2626,421.536,9409
147,397.1621,591.3607,21609
119,231.421,566.0556,14161
123,158.3987,639.492,15129
111,124.9104,458.8364,12321
181,908.8519,1183.7674,32761
196,648.0582,1092.2137,38416
201,467.7332,1031.8503,40401
149,328.3193,1256.4991,22201
137,347.159,519.0147,18769
107,400.5195,282.5093,11449
88,227.8385,604.7152,7744
42,285.0663,762.314,1764
37,206.9062,573.9351,1369
14,150.832,308.8352,196
46,315.3348,639.6402,2116
30,252.872,466.8963,900
48,119.9354,333.5816,2304
145,637.436,867.2829,21025
124,617.0141,943.0933,15376
243,901.5043,1603.3454,59049
209,622.9488,749.2618,43681
153,893.5281,2110.8734,23409
260,786.5178,1596.5942,67600
211,696.0754,1918.7,44521
201,760.0971,2111.013,40401
110,610.0353,1436.2116,12100
101,347.6137,1069.5835,10201
32,417.5445,878.1916,1024
70,921.6056,3568.8844,4900
53,279.6769,718.7253,2809
80,172.7003,160.3165,6400
49,457.5929,1069.3221,2401
62,131.6066,1113.0751,3844
45,116.0887,381.4379,2025
40,198.0532,469.7781,1600
60,202.6228,446.8411,3600
58,197.1964,579.6336,3364
42,149.9599,460.9405,1764
42,86.9131,373.01,1764
39,70.472,193.5464,1521
67,188.9036,340.718,4489
72,63.8331,130.824,5184
22,305.48,733.6737,484
14,87.2525,381.7862,196
11,67.2118,173.4999,121
21,123.0618,205.8286,441
27,72.1106,113.0447,729
21,39.8735,236.5268,441
16,81.9053,129.4747,256
17,15.3645,41.775,289
49,190.723,185.7071,2401
48,32.5474,64.8521,2304
60,217.9862,442.3212,3600
71,150.8843,223.9159,5041
134,549.6739,891.5781,17956
88,332.6998,664.5876,7744
548,3323.0885,2093.7183,300304
529,1395.909,2372.4285,279841
30,558.0348,2569.9392,900
36,52.1738,3942.4903,1296
28,381.3343,475.9804,784
54,269.2788,371.6526,2916
109,392.3931,55.5207,11881
71,489.4692,1121.8314,5041
255,1115.8771,1293.6105,65025
383,1211.5481,1134.3538,146689
55,1284.5765,982.8374,3025
121,417.9329,1646.8031,14641
